iter	RMSE
0	0.4698159646
1	0.4528211846
2	0.4369860023
3	0.421858237
4	0.4078827141
5	0.3947554628
6	0.38224972
7	0.3703130745
8	0.3588440908
9	0.3481097455
10	0.3381345389
11	0.3287327763
12	0.319648821
13	0.3115591672
14	0.3013994972
15	0.2918652834
16	0.2828608167
17	0.2743835545
18	0.2664805301
19	0.259140387
20	0.2521664824
21	0.245574589
22	0.2393935043
23	0.2337011952
24	0.228314774
25	0.2232326175
26	0.2185836494
27	0.214170806
28	0.2099915069
29	0.2060902608
30	0.2024699172
31	0.1991461496
32	0.1960400176
33	0.1930510035
34	0.1901965662
35	0.1877074026
36	0.1853267998
37	0.1829978956
38	0.18078612
39	0.178816108
40	0.1769794057
41	0.1750603304
42	0.1732100521
43	0.1716767116
44	0.1701338127
45	0.1686978457
46	0.1673896234
47	0.1661062594
48	0.1649209919
49	0.1638488477
50	0.1628582828
51	0.1618082967
52	0.1608809804
53	0.159963277
54	0.1589642452
55	0.1581035806
56	0.1573374718
57	0.1566074214
58	0.1558485586
59	0.1552551986
60	0.1544727936
61	0.1539408132
62	0.1534605276
63	0.1528132507
64	0.1522611246
65	0.1516878635
66	0.1510959602
67	0.1506134494
68	0.1500891112
69	0.1496389586
70	0.149058239
71	0.1484531434
72	0.1480536882
73	0.1477368932
74	0.1472600714
75	0.1468613309
76	0.1464681678
77	0.1461178813
78	0.1455441431
79	0.1451810204
80	0.1447657618
81	0.1444814578
82	0.1441433467
83	0.1437944151
84	0.1435393872
85	0.1432668749
86	0.1427205354
87	0.1424297879
88	0.14217295
89	0.141937049
90	0.1417531455
91	0.1414213721
92	0.1411378622
93	0.1406646935
94	0.1403533234
95	0.1401838772
96	0.1399691976
97	0.1396689345
98	0.1395033331
99	0.1392303832
100	0.1390953309
101	0.138882248
102	0.138572966
103	0.138377424
104	0.1381432679
105	0.1380163689
106	0.1378389467
107	0.1375388522
108	0.137349756
109	0.1371564891
110	0.1369902907
111	0.136794596
112	0.1365766599
113	0.1364348982
114	0.1362967822
115	0.1359506677
116	0.1357159382
117	0.1353984652
118	0.1353036758
119	0.1352140008
120	0.1351481738
121	0.1350091522
122	0.1347910059
123	0.1346470197
124	0.1344795647
125	0.1343620646
126	0.1342561519
127	0.1341594577
128	0.1339896637
129	0.1339005447
130	0.1337533132
131	0.1336291774
132	0.1334997129
133	0.1334172977
134	0.1331845531
135	0.1330580055
136	0.1329846262
137	0.1327816377
138	0.1326657491
139	0.1325670771
140	0.1324614417
141	0.1323869042
142	0.1322854394
143	0.1321331332
144	0.1319362775
145	0.1318862314
146	0.131821128
147	0.1317227688
148	0.1316252652
149	0.1314274952
150	0.1312883943
151	0.1312311089
152	0.1311348859
153	0.1310513986
154	0.1308508649
155	0.1307546198
156	0.1306958139
157	0.1306109545
158	0.1304899096
159	0.1304420348
160	0.130320955
161	0.1302584885
162	0.1301439506
163	0.1300672628
164	0.1299496289
165	0.1298963976
166	0.1297467399
167	0.129656913
168	0.1294971149
169	0.1294251495
170	0.12935843
171	0.1292406341
172	0.129098022
173	0.1289701334
174	0.1289054519
175	0.1288308949
176	0.1287396119
177	0.1286343394
178	0.128534274
179	0.1284696784
180	0.128431806
181	0.1283209248
182	0.1281588314
183	0.1280609021
184	0.1279558954
185	0.1278618973
186	0.1277529349
187	0.1275377719
188	0.127459284
189	0.127327293
190	0.1272767433
191	0.1272257288
192	0.1271182835
193	0.1270647791
194	0.1269942575
195	0.1269371722
196	0.1267539409
197	0.1266693614
198	0.1266119902
199	0.1265708512
200	0.1265331382
201	0.1264717546
202	0.1264109245
203	0.1263603997
204	0.1262957326
205	0.1261180266
206	0.1260092048
207	0.1259589153
208	0.1258784229
209	0.125853554
210	0.1257959686
211	0.1257518438
212	0.1256775963
213	0.1256135901
214	0.1255003218
215	0.1254148929
216	0.1253628183
217	0.1252962843
218	0.1252130469
219	0.1251317271
220	0.1250577334
221	0.1250360711
222	0.1248791024
223	0.1248339029
224	0.1247668832
225	0.1247255685
226	0.1246493873
227	0.124517945
228	0.1244668363
229	0.1243763302
230	0.1242491348
231	0.1241811385
232	0.1241065552
233	0.1240832172
234	0.1240377304
235	0.123895652
236	0.1238310817
237	0.1237871902
238	0.1236924727
239	0.1236300627
240	0.1235670101
241	0.1234786892
242	0.12344048
243	0.1234027935
244	0.1233634361
245	0.1233082636
246	0.123273155
247	0.1232273906
248	0.1232061196
249	0.1231290248
250	0.1231084329
251	0.1230614062
252	0.1229649902
253	0.1228767199
254	0.1228389097
255	0.122772093
256	0.1227424091
257	0.1227224695
258	0.1226452852
259	0.1225713053
260	0.1225353819
261	0.1224913623
262	0.1224214841
263	0.1222547267
264	0.1222124175
265	0.1221689768
266	0.1221443123
267	0.1221339607
268	0.1220843994
269	0.1220196532
270	0.1220097003
271	0.1219743688
272	0.1219350332
273	0.1218736183
274	0.1217151923
275	0.1216616867
276	0.1215980878
277	0.1215536676
278	0.1214894171
279	0.1214538328
280	0.1213987747
281	0.1213804144
282	0.1213709968
283	0.1213425088
284	0.1213068505
285	0.1212373637
286	0.1212030468
287	0.1210699829
288	0.1210504279
289	0.1210089334
290	0.1209502626
291	0.1209130842
292	0.1208615178
293	0.1208058222
294	0.1207889593
295	0.1207603207
296	0.120723415
297	0.1206920916
298	0.1206312405
299	0.1206034465
300	0.1205787972
301	0.1205208251
302	0.1204694901
303	0.1203481691
304	0.1203210918
305	0.1202698801
306	0.1202322526
307	0.1202044769
308	0.1201530962
309	0.1201447267
310	0.120104372
311	0.1200588981
312	0.1200149322
313	0.1199726407
314	0.1199435002
315	0.1199154613
316	0.1197770611
317	0.1197582236
318	0.1197476668
319	0.1197320497
320	0.1196266989
321	0.1195752162
322	0.1195555973
323	0.1194531503
324	0.1194229922
325	0.1193929317
326	0.1193492028
327	0.1193375469
328	0.1193186931
329	0.1193002845
330	0.119245149
331	0.1191544094
332	0.1191123429
333	0.1190833378
334	0.1190257531
